pair,tier,time,vol_z,pnl,win,hours_held,rsi14,bbw_pctl,dist_30d_high,dist_30d_low,obv_chg_pctl,macd_rel,atr_pctl,vwap7_dist,ret_7d,ret_24h,spike_hours_24h,buy_ratio,hour_utc,dow,btc_ret_24h
ALLOUSDT,micro,2025-11-20 06:00:00+00:00,4.82,0.11299999999999999,True,20,41.09445486564668,52.63157894736842,-0.7585398035478669,0.04571428571428582,18.91891891891892,0.000532722954408847,3.571428571428571,-0.22337775538025573,-0.42210526315789465,-0.08142777467930828,1.0,0.5513363244090619,6.0,3.0,0.02383606277206085
ALLOUSDT,micro,2026-05-21 10:00:00+00:00,4.72,0.11299999999999999,True,26,59.164940559675564,70.97222222222223,-0.33779761904761907,0.09876543209876543,0.1388888888888889,0.001445454823027513,31.944444444444443,0.0247258844643643,0.005649717514124353,0.05575326215895604,2.0,0.46850182524156986,10.0,3.0,0.001908624274102655
APTUSDT,mid,2025-06-25 02:00:00+00:00,4.49,-0.04825101874490634,False,36,64.90784519963763,99.16666666666667,-0.11885098743267497,0.2791243158717749,99.72222222222223,-0.0005649932351096651,98.75,0.1022228448842124,0.10465901417960866,0.13637416068534391,10.0,0.4721296659358529,2.0,2.0,0.00888253436959574
APTUSDT,mid,2025-06-27 07:00:00+00:00,4.03,-0.06468249951333449,False,36,65.52551199376356,92.08333333333333,-0.07773788150807914,0.33880635913474055,90.83333333333333,0.006003045774257747,97.36111111111111,0.11117427584700157,0.15880893300248133,0.05244826879737752,6.0,0.31882834046028224,7.0,4.0,-0.004479150717092817
APTUSDT,mid,2026-02-06 12:00:00+00:00,4.35,0.05340616246498597,True,36,46.898687351764984,84.72222222222221,-0.46180904522613064,0.06039603960396045,8.88888888888889,0.009419135177774637,95.13888888888889,-0.10498999360322314,-0.26593557230980125,-0.07592752372735123,4.0,0.5080302525583553,12.0,4.0,-0.05243339754132459
APTUSDT,mid,2026-04-29 08:00:00+00:00,4.46,0.0030556117290192492,True,36,58.191070582083746,74.86111111111111,-0.021760633036597365,0.21798029556650245,8.194444444444445,0.003162875725172187,89.44444444444444,0.017827078296837273,0.016443987667009274,0.024870466321243567,3.0,0.6105864484895187,8.0,2.0,0.0022679712921349626
APTUSDT,mid,2026-05-05 18:00:00+00:00,4.1,0.07267908902691489,True,36,41.72633279736955,27.083333333333332,-0.07204610951008639,0.18965517241379293,3.0555555555555554,-0.0008819377544978508,82.77777777777777,-0.026590202403980467,-0.0010341261633919352,-0.016293279022403295,2.0,0.5581446990119399,18.0,1.0,0.010943912618867957
APTUSDT,mid,2026-05-10 20:00:00+00:00,5.94,-0.06317247238742574,False,36,63.48036299904557,99.16666666666667,-0.03445447087776865,0.4495073891625616,37.361111111111114,0.008180258451214704,100.0,0.11589354588159506,0.18410462776659964,0.05465949820788518,3.0,0.5469277874317205,20.0,6.0,0.006168879024612828
ARBUSDT,mid,2023-09-29 06:00:00+00:00,4.33,0.016072957090586426,True,36,66.03870940897193,96.25,-0.06780361757105946,0.2062324461682492,92.63888888888889,0.00026396789017456876,96.11111111111111,0.06818714058978648,0.08167426241304865,0.0874125874125875,3.0,0.4754636500703556,6.0,4.0,0.019930472458359993
ARBUSDT,mid,2024-02-29 18:00:00+00:00,4.3,-0.02309455671928018,False,36,62.372094827448514,72.08333333333333,-0.06142698910836242,0.20145329946239743,93.61111111111111,-0.0013167237810645786,100.0,0.07254913419494291,0.09474080852667277,0.08256148195464719,8.0,0.5346763306671362,18.0,3.0,-0.00613198475845278
