indicator,n,spearman,p,p_MW,EV_low,EV_mid,EV_high
dow,148,-0.103,0.212,0.295,+2.15%,+2.59%,-1.12%
vol_z,148,-0.1,0.224,0.153,+2.57%,+1.02%,+1.20%
atr_pctl,148,0.099,0.230,1.000,+0.86%,+1.78%,+2.19%
spike_hours_24h,148,0.098,0.236,0.541,+1.25%,+1.45%,+2.14%
macd_rel,148,-0.073,0.380,0.066,+2.37%,+1.42%,+1.03%
rsi14,148,-0.068,0.410,0.009,+2.16%,+1.33%,+1.33%
bbw_pctl,148,0.059,0.478,0.422,+0.63%,+1.60%,+2.56%
vwap7_dist,148,-0.038,0.647,0.039,+2.57%,-0.03%,+2.26%
btc_ret_24h,148,0.038,0.650,0.388,+2.24%,-0.67%,+3.16%
buy_ratio,148,0.037,0.655,0.932,+2.18%,+0.10%,+2.51%
obv_chg_pctl,148,-0.037,0.657,0.075,+1.49%,+1.47%,+1.86%
dist_30d_low,148,0.024,0.768,0.281,+2.20%,+1.09%,+1.52%
ret_7d,148,0.014,0.866,0.147,+1.96%,+1.16%,+1.69%
dist_30d_high,148,0.011,0.897,0.404,+0.92%,+2.36%,+1.54%
hour_utc,148,-0.008,0.923,0.393,+1.96%,+0.67%,+2.24%
ret_24h,148,-0.0,0.997,0.043,+2.81%,+0.05%,+1.96%
