coin,rank,best_venue,pair,usd_24h
BTC,1,coinbase_usd,BTC-USD,416574810
ETH,2,binance_usdc,ETHUSDC,189214996
BNB,4,binance_usdc,BNBUSDC,6032910
XRP,6,coinbase_usd,XRP-USD,47538288
SOL,7,coinbase_usd,SOL-USD,89734443
TRX,8,binance_usdc,TRXUSDC,1516745
HYPE,10,coinbase_usd,HYPE-USD,26696925
DOGE,11,coinbase_usd,DOGE-USD,5999503
ZEC,15,coinbase_usd,ZEC-USD,40960855
ADA,17,coinbase_usd,ADA-USD,8743885
XLM,18,coinbase_usd,XLM-USD,9977984
XMR,19,kraken_usd_eur,XMR/USD,1674565
LINK,20,coinbase_usd,LINK-USD,4540198
CC,21,kraken_usd_eur,CC/USD,900403
BCH,22,coinbase_usd,BCH-USD,1919147
GRAM,26,binance_usdc,GRAMUSDC,871847
LTC,27,coinbase_usd,LTC-USD,4562533
USDG,28,kraken_usd_eur,USDG/USD,426438
HBAR,30,coinbase_usd,HBAR-USD,3350274
SUI,31,coinbase_usd,SUI-USD,6686257
AVAX,32,coinbase_usd,AVAX-USD,2747586
CRO,34,coinbase_usd,CRO-USD,232205
SHIB,35,binance_usdc,SHIBUSDC,416407
NEAR,37,coinbase_usd,NEAR-USD,6637723
UNI,40,coinbase_usd,UNI-USD,5343546
TAO,41,coinbase_usd,TAO-USD,4049802
WLFI,42,coinbase_usd,WLFI-USD,696523
ASTER,45,binance_usdc,ASTERUSDC,393393
M,48,kraken_usd_eur,M/USD,741733
ONDO,49,coinbase_usd,ONDO-USD,3994384
MNT,52,bybit_usdc_eur,MNTUSDC,375943
DOT,53,coinbase_usd,DOT-USD,653564
WLD,54,coinbase_usd,WLD-USD,1687874
AAVE,55,coinbase_usd,AAVE-USD,4608144
MORPHO,56,coinbase_usd,MORPHO-USD,561739
SKY,58,coinbase_usd,SKY-USD,398499
BFUSD,59,binance_usdc,BFUSDUSDC,67484
ICP,60,coinbase_usd,ICP-USD,2094151
PEPE,62,binance_usdc,PEPEUSDC,760840
ETC,63,coinbase_usd,ETC-USD,169664
PI,64,kraken_usd_eur,PI/USD,66573
U,65,binance_usdc,UUSDC,5477319
QNT,68,coinbase_usd,QNT-USD,409693
POL,75,binance_usdc,POLUSDC,307932
ATOM,76,coinbase_usd,ATOM-USD,418517
RENDER,77,coinbase_usd,RENDER-USD,470818
KAS,78,kraken_usd_eur,KAS/USD,366186
ALGO,80,coinbase_usd,ALGO-USD,978376
ADI,81,kraken_usd_eur,ADI/USD,224999
ENA,84,binance_usdc,ENAUSDC,1225286
JUP,87,binance_usdc,JUPUSDC,844918
币安人生,88,binance_usdc,币安人生USDC,314231
FIL,92,coinbase_usd,FIL-USD,518376
PUMP,93,coinbase_usd,PUMP-USD,1091927
FLR,95,coinbase_usd,FLR-USD,249112
ARB,97,bitvavo_eur,ARB-EUR,1905612
XDC,99,kraken_usd_eur,XDC/USD,294514
VVV,100,coinbase_usd,VVV-USD,6789479
APT,101,binance_usdc,APTUSDC,731411
NIGHT,102,kraken_usd_eur,NIGHT/USD,1770739
AERO,104,coinbase_usd,AERO-USD,3298748
INJ,107,coinbase_usd,INJ-USD,1507531
CAKE,109,binance_usdc,CAKEUSDC,200756
DASH,110,coinbase_usd,DASH-USD,242703
VET,112,coinbase_usd,VET-USD,212942
PENGU,115,coinbase_usd,PENGU-USD,850755
ETHFI,116,bitvavo_eur,ETHFI-EUR,798336
TIA,117,coinbase_usd,TIA-USD,1962579
TRUMP,118,binance_usdc,TRUMPUSDC,463292
FET,120,coinbase_usd,FET-USD,2397340
BONK,121,coinbase_usd,BONK-USD,1449349
SPX,123,kraken_usd_eur,SPX/USD,351889
VIRTUAL,124,binance_usdc,VIRTUALUSDC,263227
LUNC,125,binance_usdc,LUNCUSDC,51818
PYTH,126,coinbase_usd,PYTH-USD,419138
ZRO,127,binance_usdc,ZROUSDC,769003
SEI,128,coinbase_usd,SEI-USD,938145
JTO,129,coinbase_usd,JTO-USD,2446793
STX,130,coinbase_usd,STX-USD,311629
CRV,133,coinbase_usd,CRV-USD,777214
GNO,135,coinbase_usd,GNO-USD,71914
MON,136,coinbase_usd,MON-USD,3123870
PENDLE,138,binance_usdc,PENDLEUSDC,914576
KITE,139,binance_usdc,KITEUSDC,260742
LDO,141,binance_usdc,LDOUSDC,1791112
XTZ,144,coinbase_usd,XTZ-USD,349843
2Z,146,binance_usdc,2ZUSDC,79169
GRASS,147,bitvavo_eur,GRASS-EUR,497820
XPL,148,binance_usdc,XPLUSDC,1114142
OP,151,binance_usdc,OPUSDC,577187
FLOKI,153,kraken_usd_eur,FLOKI/USD,112083
JASMY,157,coinbase_usd,JASMY-USD,203977
ZBCN,158,kraken_usd_eur,ZBCN/USD,179704
STRK,164,coinbase_usd,STRK-USD,302438
GRT,170,kraken_usd_eur,GRT/USD,74979
GWEI,171,coinbase_usd,GWEI-USD,1408686
SYRUP,174,coinbase_usd,SYRUP-USD,1323818
EIGEN,175,coinbase_usd,EIGEN-USD,911474
RAY,176,kraken_usd_eur,RAY/USD,112306
CHZ,178,binance_usdc,CHZUSDC,403003
AXS,180,coinbase_usd,AXS-USD,147957
AUSD,181,kraken_usd_eur,AUSD/USD,61403
AKT,183,coinbase_usd,AKT-USD,305792
VELVET,184,kraken_usd_eur,VELVET/USD,63445
IOTA,186,binance_usdc,IOTAUSDC,120943
ENS,187,binance_usdc,ENSUSDC,62713
KAITO,188,coinbase_usd,KAITO-USD,1740327
COMP,189,coinbase_usd,COMP-USD,84934
APE,190,binance_usdc,APEUSDC,1274713
NEX,192,coinbase_usd,NEX-USD,1110690
WIF,196,binance_usdc,WIFUSDC,527700
XCN,203,coinbase_usd,XCN-USD,1337745
EDGE,204,coinbase_usd,EDGE-USD,151551
FARTCOIN,206,coinbase_usd,FARTCOIN-USD,1175921
MANA,207,kraken_usd_eur,MANA/USD,382578
SAND,219,binance_usdc,SANDUSDC,103747
RUNE,220,binance_usdc,RUNEUSDC,309937
AR,224,binance_usdc,ARUSDC,65534
A,225,bitvavo_eur,A-EUR,116244
TRAC,236,coinbase_usd,TRAC-USD,241734
GENIUS,237,binance_usdc,GENIUSUSDC,55776
IMX,238,coinbase_usd,IMX-USD,376295
PRL,240,coinbase_usd,PRL-USD,73975
DYDX,243,binance_usdc,DYDXUSDC,1098934
DRV,245,coinbase_usd,DRV-USD,56073
CVX,250,coinbase_usd,CVX-USD,97967
ZK,255,binance_usdc,ZKUSDC,478320
SENT,260,binance_usdc,SENTUSDC,299011
GALA,261,binance_usdc,GALAUSDC,295249
KMNO,270,binance_usdc,KMNOUSDC,331927
RE,275,coinbase_usd,RE-USD,1042387
ALLO,277,coinbase_usd,ALLO-USD,1361934
S,279,coinbase_usd,S-USD,91432
EGLD,282,binance_usdc,EGLDUSDC,726362
BILL,283,kraken_usd_eur,BILL/USD,5189696
UAI,286,kraken_usd_eur,UAI/USD,368503
O,287,coinbase_usd,O-USD,204738
ATH,293,coinbase_usd,ATH-USD,325935
MET,296,coinbase_usd,MET-USD,266877
USELESS,299,coinbase_usd,USELESS-USD,1346405
RSR,300,coinbase_usd,RSR-USD,268424
YFI,309,coinbase_usd,YFI-USD,928439
LPT,314,bitvavo_eur,LPT-EUR,72547
SYN,316,kraken_usd_eur,SYN/USD,1785337
ZRX,323,coinbase_usd,ZRX-USD,74169
BANANAS31,324,binance_usdc,BANANAS31USDC,165217
ZEN,326,binance_usdc,ZENUSDC,198103
ZAMA,327,coinbase_usd,ZAMA-USD,103889
CFG,328,coinbase_usd,CFG-USD,280063
ORCA,334,coinbase_usd,ORCA-USD,312790
ORDI,337,binance_usdc,ORDIUSDC,296528
RIVER,342,kraken_usd_eur,RIVER/USD,75859
KTA,345,coinbase_usd,KTA-USD,286658
NMR,348,coinbase_usd,NMR-USD,260192
RAVE,353,coinbase_usd,RAVE-USD,1211858
SHX,358,kraken_usd_eur,SHX/USD,141720
CHIP,362,coinbase_usd,CHIP-USD,738144
DOG,371,kraken_usd_eur,DOG/USD,73273
SKR,372,coinbase_usd,SKR-USD,492071
IO,373,coinbase_usd,IO-USD,203278
HOME,374,coinbase_usd,HOME-USD,238728
BIO,379,coinbase_usd,BIO-USD,181608
PLUME,381,coinbase_usd,PLUME-USD,464580
TURBO,384,coinbase_usd,TURBO-USD,122827
W,386,coinbase_usd,W-USD,133314
BERA,392,coinbase_usd,BERA-USD,182266
VELO,395,coinbase_usd,VELO-USD,131735
