pair,tier,time,vol_z,pnl,hours_held
ALLOUSDT,micro,2025-11-20 06:00:00+00:00,4.82,-0.05500000000000015,9
ALLOUSDT,micro,2026-01-25 07:00:00+00:00,3.18,-0.05500000000000004,9
ALLOUSDT,micro,2026-05-21 10:00:00+00:00,4.72,-0.05500000000000015,5
ALLOUSDT,micro,2026-05-21 17:00:00+00:00,3.73,0.10999999999999999,19
ALLOUSDT,micro,2026-05-22 16:00:00+00:00,3.19,-0.05500000000000004,6
ALLOUSDT,micro,2026-05-28 05:00:00+00:00,3.25,0.10999999999999999,9
APTUSDT,mid,2025-05-09 08:00:00+00:00,3.74,0.0152251143158636,36
APTUSDT,mid,2025-05-11 03:00:00+00:00,3.4,-0.05499999999999993,4
APTUSDT,mid,2025-05-12 07:00:00+00:00,3.43,-0.05500000000000004,11
APTUSDT,mid,2025-05-13 19:00:00+00:00,3.31,-0.05499999999999993,17
APTUSDT,mid,2025-05-21 17:00:00+00:00,3.24,0.10999999999999999,34
APTUSDT,mid,2025-06-20 17:00:00+00:00,3.18,0.009999999999999901,30
APTUSDT,mid,2025-06-25 02:00:00+00:00,4.49,-0.05500000000000004,12
APTUSDT,mid,2025-06-27 07:00:00+00:00,4.03,-0.05500000000000004,8
APTUSDT,mid,2025-08-08 00:00:00+00:00,3.7,0.07467900133749439,36
APTUSDT,mid,2025-08-24 19:00:00+00:00,3.2,-0.05500000000000015,13
APTUSDT,mid,2025-09-17 18:00:00+00:00,3.73,0.06237850787132116,36
APTUSDT,mid,2025-09-30 21:00:00+00:00,3.03,0.10272862709145081,36
APTUSDT,mid,2025-10-03 16:00:00+00:00,3.08,-0.004812628817687843,36
APTUSDT,mid,2025-12-20 10:00:00+00:00,3.58,-0.05500000000000004,27
APTUSDT,mid,2025-12-23 06:00:00+00:00,3.27,0.008871374527112178,36
APTUSDT,mid,2025-12-31 07:00:00+00:00,3.19,0.07847826086956522,36
APTUSDT,mid,2026-01-07 01:00:00+00:00,3.06,-0.05500000000000004,29
APTUSDT,mid,2026-01-20 10:00:00+00:00,3.26,-0.05500000000000015,12
APTUSDT,mid,2026-02-06 12:00:00+00:00,4.35,0.05040616246498598,36
APTUSDT,mid,2026-02-23 09:00:00+00:00,3.49,-0.05500000000000004,8
APTUSDT,mid,2026-03-16 14:00:00+00:00,3.8,0.011080402010050231,36
APTUSDT,mid,2026-03-23 23:00:00+00:00,3.44,0.005289990645463209,36
APTUSDT,mid,2026-04-17 10:00:00+00:00,3.08,-0.05500000000000004,32
APTUSDT,mid,2026-04-22 05:00:00+00:00,3.69,-0.030210084033613357,36
APTUSDT,mid,2026-04-25 07:00:00+00:00,3.26,0.010432098765432166,36
APTUSDT,mid,2026-04-28 05:00:00+00:00,3.18,0.006316872427983515,36
APTUSDT,mid,2026-04-30 16:00:00+00:00,3.12,0.004109311740890691,36
APTUSDT,mid,2026-05-05 18:00:00+00:00,4.1,0.06967908902691489,36
APTUSDT,mid,2026-05-10 20:00:00+00:00,5.94,-0.05500000000000004,6
APTUSDT,mid,2026-05-17 13:00:00+00:00,3.12,-0.05500000000000004,10
APTUSDT,mid,2026-06-06 14:00:00+00:00,3.16,0.002587253414264028,36
ARBUSDT,mid,2025-02-01 03:00:00+00:00,4.01,-0.05500000000000004,16
ARBUSDT,mid,2025-02-25 07:00:00+00:00,3.21,0.059088707621718035,36
ARBUSDT,mid,2025-04-02 20:00:00+00:00,3.11,-0.05500000000000015,2
ARBUSDT,mid,2025-05-07 18:00:00+00:00,3.13,0.11000000000000021,24
ARBUSDT,mid,2025-05-09 09:00:00+00:00,3.39,0.10999999999999999,33
ARBUSDT,mid,2025-05-11 02:00:00+00:00,6.4,-0.05500000000000004,4
ARBUSDT,mid,2025-05-12 05:00:00+00:00,3.02,-0.05500000000000004,13
ARBUSDT,mid,2025-05-21 17:00:00+00:00,3.11,0.08434376577486125,36
ARBUSDT,mid,2025-06-30 08:00:00+00:00,3.72,-0.05500000000000004,7
ARBUSDT,mid,2025-07-01 10:00:00+00:00,3.12,0.06898354160316977,36
ARBUSDT,mid,2025-07-18 08:00:00+00:00,3.04,-0.05500000000000004,12
ARBUSDT,mid,2025-08-24 10:00:00+00:00,3.04,-0.05500000000000015,24
ARBUSDT,mid,2025-09-17 18:00:00+00:00,3.05,0.05919354838709679,36
ARBUSDT,mid,2025-09-25 15:00:00+00:00,4.53,-0.05500000000000004,2
ARBUSDT,mid,2025-10-13 11:00:00+00:00,3.1,0.007385726924211138,36
ARBUSDT,mid,2025-10-29 18:00:00+00:00,3.84,-0.05500000000000015,18
ARBUSDT,mid,2025-11-12 22:00:00+00:00,3.16,-0.05500000000000004,20
ARBUSDT,mid,2025-11-14 23:00:00+00:00,3.29,0.002572570466975126,36
ARBUSDT,mid,2026-01-07 11:00:00+00:00,3.8,-0.05500000000000004,19
ARBUSDT,mid,2026-01-16 04:00:00+00:00,3.31,0.06831723804925172,36
ARBUSDT,mid,2026-01-30 01:00:00+00:00,3.12,-0.05500000000000015,36
ARBUSDT,mid,2026-02-02 01:00:00+00:00,3.11,-0.05500000000000015,4
ARBUSDT,mid,2026-02-02 06:00:00+00:00,3.47,-0.05500000000000004,35
ARBUSDT,mid,2026-02-07 16:00:00+00:00,3.1,-0.033286189683860205,36
ARBUSDT,mid,2026-02-20 05:00:00+00:00,3.08,-0.05500000000000004,7
ARBUSDT,mid,2026-02-27 10:00:00+00:00,3.55,-0.05499999999999993,3
