coin,pair,rank,score,absorb,flow,clip,quiet,diverge,ret_72h
GENIUS,GENIUSUSDT,227,91.8,,95.0,81.0,100.0,52.0,-2.2%
CHZ,CHZUSDT,179,82.2,,81.0,74.0,92.0,32.0,-1.8%
ZEC,ZECUSDT,15,82.1,,59.0,87.0,100.0,13.0,-1.8%
DOT,DOTUSDT,52,82.0,,79.0,92.0,75.0,15.0,+0.9%
ONDO,ONDOUSDT,49,79.9,,77.0,91.0,72.0,33.0,-0.8%
ORDI,ORDIUSDT,335,79.4,,61.0,95.0,83.0,5.0,+1.1%
DASH,DASHUSDT,111,79.2,,60.0,81.0,97.0,12.0,-2.4%
ZAMA,ZAMAUSDT,334,72.9,,76.0,56.0,87.0,10.0,+4.6%
TRX,TRXUSDT,8,71.9,,68.0,90.0,58.0,-13.0,+1.6%
RENDER,RENDERUSDT,74,71.0,,74.0,52.0,88.0,13.0,+0.6%
ICP,ICPUSDT,61,67.5,65.0,39.0,86.0,78.0,-9.0,-0.5%
ENA,ENAUSDT,85,67.4,,53.0,66.0,83.0,8.0,-2.7%
WLD,WLDUSDT,56,67.3,,36.0,94.0,72.0,12.0,-8.2%
TAO,TAOUSDT,41,65.9,,80.0,28.0,90.0,17.0,+0.4%
SHIB,SHIBUSDT,37,63.3,64.7,43.0,97.0,50.0,3.0,-0.7%
KITE,KITEUSDT,137,62.8,,77.0,83.0,29.0,1.0,+7.5%
PENGU,PENGUUSDT,114,62.5,,57.0,34.0,97.0,19.0,-2.3%
PENDLE,PENDLEUSDT,148,62.2,64.3,18.0,79.0,90.0,-14.0,-1.2%
NEAR,NEARUSDT,36,60.8,,76.0,40.0,66.0,26.0,+0.3%
BIO,BIOUSDT,366,60.8,,71.0,17.0,95.0,27.0,-2.2%
AR,ARUSDT,224,60.1,,83.0,15.0,82.0,39.0,-0.1%
WLFI,WLFIUSDT,44,58.2,,82.0,32.0,61.0,-12.0,+7.6%
JST,JSTUSDT,79,57.9,,79.0,7.0,87.0,16.0,+2.6%
