pair,time,absorb,pnl,hours_held,variant
AAVEUSDT,2023-10-22 13:00:00+00:00,93.3,0.11299999999999999,33,A_ladder
AAVEUSDT,2023-11-01 16:00:00+00:00,80.8,0.11299999999999999,12,A_ladder
AAVEUSDT,2023-12-14 02:00:00+00:00,81.4,0.11299999999999999,29,A_ladder
AAVEUSDT,2023-12-15 14:00:00+00:00,84.7,-0.13058262914888064,168,A_ladder
AAVEUSDT,2023-12-24 10:00:00+00:00,84.4,0.11299999999999999,86,A_ladder
AAVEUSDT,2023-12-29 19:00:00+00:00,80.2,-0.09775420996058759,168,A_ladder
AAVEUSDT,2024-01-10 22:00:00+00:00,81.9,0.010172855672996086,168,A_ladder
AAVEUSDT,2024-02-03 09:00:00+00:00,80.2,0.009127854410571514,168,A_ladder
AAVEUSDT,2024-03-09 00:00:00+00:00,80.8,0.11300000000000021,105,A_ladder
AAVEUSDT,2024-04-08 09:00:00+00:00,80.4,-0.2914674556213017,168,A_ladder
AAVEUSDT,2024-05-26 16:00:00+00:00,80.1,-0.05404932898077619,168,A_ladder
AAVEUSDT,2024-08-08 00:00:00+00:00,83.9,0.07297221380216223,168,A_ladder
AAVEUSDT,2024-09-04 08:00:00+00:00,84.9,0.11299999999999999,167,A_ladder
AAVEUSDT,2024-12-08 05:00:00+00:00,82.7,0.11299999999999999,93,A_ladder
AAVEUSDT,2024-12-22 20:00:00+00:00,80.5,0.11299999999999999,24,A_ladder
AAVEUSDT,2025-01-19 16:00:00+00:00,81.3,0.021673230535155463,168,A_ladder
AAVEUSDT,2025-04-25 13:00:00+00:00,80.0,0.06544106718645315,168,A_ladder
AAVEUSDT,2025-05-20 12:00:00+00:00,80.4,0.0770732791660278,168,A_ladder
AAVEUSDT,2025-05-27 17:00:00+00:00,81.7,-0.037376255083312326,168,A_ladder
AAVEUSDT,2025-06-04 00:00:00+00:00,80.1,0.11299999999999977,155,A_ladder
AAVEUSDT,2025-06-10 14:00:00+00:00,86.0,-0.12582720875684128,168,A_ladder
AAVEUSDT,2025-06-25 22:00:00+00:00,81.5,0.08548384570197776,168,A_ladder
AAVEUSDT,2025-07-14 07:00:00+00:00,80.7,0.016000246578720123,168,A_ladder
AAVEUSDT,2025-07-21 14:00:00+00:00,81.1,-0.12519210993174357,168,A_ladder
AAVEUSDT,2025-08-25 10:00:00+00:00,80.8,-0.04885682805900715,168,A_ladder
AAVEUSDT,2026-01-03 23:00:00+00:00,80.1,0.04351673409341683,168,A_ladder
AAVEUSDT,2026-01-15 10:00:00+00:00,82.7,-0.08450673699902522,168,A_ladder
AAVEUSDT,2026-04-07 23:00:00+00:00,82.2,0.05992295646727208,168,A_ladder
AAVEUSDT,2026-04-16 04:00:00+00:00,81.5,-0.03062469552182867,168,A_ladder
AAVEUSDT,2026-04-25 10:00:00+00:00,81.2,-0.04098939488459141,168,A_ladder
AAVEUSDT,2026-05-10 20:00:00+00:00,81.1,-0.09117261485875139,168,A_ladder
ADAUSDT,2023-08-31 07:00:00+00:00,81.2,-0.03441613267998489,168,A_ladder
ADAUSDT,2023-11-07 12:00:00+00:00,80.9,0.0551272308578008,168,A_ladder
ADAUSDT,2023-12-13 13:00:00+00:00,83.3,0.031046465968586512,168,A_ladder
ADAUSDT,2023-12-20 23:00:00+00:00,80.1,0.07532609433322013,168,A_ladder
ADAUSDT,2024-01-02 02:00:00+00:00,80.0,-0.16289226388229716,168,A_ladder
ADAUSDT,2024-01-10 21:00:00+00:00,81.6,0.014555455365193872,168,A_ladder
ADAUSDT,2024-02-07 23:00:00+00:00,81.3,0.11299999999999999,156,A_ladder
ADAUSDT,2024-02-19 22:00:00+00:00,80.8,-0.029377749643931028,168,A_ladder
ADAUSDT,2024-02-29 00:00:00+00:00,80.1,0.11299999999999999,48,A_ladder
ADAUSDT,2024-10-28 23:00:00+00:00,80.6,-0.05262554553389587,168,A_ladder
ADAUSDT,2024-11-06 02:00:00+00:00,82.2,0.11299999999999999,44,A_ladder
ADAUSDT,2024-11-11 05:00:00+00:00,96.9,0.11299999999999999,104,A_ladder
ADAUSDT,2024-11-15 15:00:00+00:00,83.7,0.11299999999999999,9,A_ladder
ADAUSDT,2024-11-20 00:00:00+00:00,80.0,0.11299999999999999,50,A_ladder
ADAUSDT,2024-11-24 11:00:00+00:00,93.9,0.07172185694361444,168,A_ladder
ADAUSDT,2024-12-05 17:00:00+00:00,82.6,-0.06844951140065136,168,A_ladder
ADAUSDT,2025-05-23 06:00:00+00:00,81.5,-0.13459873715488424,168,A_ladder
ADAUSDT,2025-06-23 22:00:00+00:00,81.0,-0.018449623029472284,168,A_ladder
ADAUSDT,2025-07-02 17:00:00+00:00,81.0,0.02107951482479775,168,A_ladder
ADAUSDT,2025-07-11 15:00:00+00:00,83.2,0.11299999999999999,153,A_ladder
ADAUSDT,2025-07-26 12:00:00+00:00,80.4,-0.1383306744017404,168,A_ladder
ADAUSDT,2025-08-14 12:00:00+00:00,84.2,-0.0619522983521249,168,A_ladder
ADAUSDT,2025-08-23 06:00:00+00:00,80.3,-0.10684043692439493,168,A_ladder
ADAUSDT,2025-09-10 16:00:00+00:00,80.1,-0.02400022449208672,168,A_ladder
ADAUSDT,2026-03-25 12:00:00+00:00,80.1,-0.09810484164543143,168,A_ladder
ADAUSDT,2026-04-16 09:00:00+00:00,80.6,-0.012454362685967,168,A_ladder
ALLOUSDT,2025-11-28 13:00:00+00:00,84.4,0.011219720024345793,168,A_ladder
